FOLDER,SONG,SOLO_TRACK,START_BAR,END_BAR,SIGNATURE,KEY,CHORDS
black_sabbath,n_i_b.gp4,3,62,77,4,G,"E5-1,D5-1,C5-1,B5-1,E5-1,D5-1,C5-1,B5-1,E5-1,D5-1,C5-1,B5-1,E5-1,D5-1,C5-1,B5-1"
black_sabbath,paranoid.gp3,4,21,28,4,D,"E5-1,D5-1,E5-1,D5-1,E5-1,D5-1,E5-1,D5-1"
black_sabbath,supernaut.gp4,4,51,70,4,F#,"C#-1,B-1,C#-1,F#-1,C#-1,B-1,C#-1,F#-1,C#-1,B-1,C#-1,F#-1,C#-1,B-1,C#-1,F#-1,C#-1,B-1,C#-1,F#-1"
black_sabbath,you_wont_change_me.gp5,3,62,69,4,C,"D-1/2,C#-1/2,C-1/2,B-1/2,D-1/2,C#-1/2,C-1/2,B-1/2,A#-1,A-1,D-1/2,C#-1/2,C-1/2,B-1/2"
judas_priest,between_the_hammer_and_the_anvil.gp4,4,98,113,3,G,"F#m7-1,E5-2,C5-2,E5-2,C5-2,E5-2,C5-2,E5-2,C5-1"
judas_priest,desert_plains.gp4,3,73,77,4,C,"G5-1/2,A5-5/2,F5-1/2,G5-1/2,A5-1"
judas_priest,hard_as_iron.gp4,2,85,100,4,F#,"G#m7-3/2,A#m7-1/2,G#m7-3/2,A#m7-1/2,G#m7-3/2,A#m7-1/2,G#m7-3/2,A#m7-1/2,B5-1,D5-1,G5-3/2,A5-1/2,D5-2,G5-1/2,F#5-1/2,E5-1"
judas_priest,heavy_metal.gp4,3,96,103,4,E,"B5-3,E5-1,B5-3,E5-1"
judas_priest,hellrider.gp4,1,138,149,4,C#,"A#5-1,B5-1,C#5-1,D#5-1,E5-1,F5-1,F#5-1,F5-1/2,A#5-1/2,C#5-2,A#5-1,C#5-1/2,B5-1/4,G#5-1/4"
judas_priest,jawbreaker.gp4,2,104,121,4,F,"E5-11,A5-1,F5-1,F#5-1,G5-1/2,G#-1/2,A5-1,F5-1,G5-1"
judas_priest,reckless.gp4,1,86,97,4,B,"G#5-2,B5-2,G#5-2,B5-2,G#5-2,B5-1,F#5-1"
judas_priest,riding_on_the_wind.gp4,3,85,88,4,E,"E5-3/4,A5-1/2,D5-1/2,B5-9/4"
judas_priest,savage.gp4,2,60,75,4,D,"F#5-8,B5-4,F#5-4"
judas_priest,turbo_lover.gp3,1,141,148,4,G,"E5-2,C5-2,A5-2,E5-2"
iron_maiden,aces_high.gp3,2,131,146,4,C,"A5-2,F5-1,G5-1,A5-2,C5-1,D5-1,A5-2,F5-1,G5-1,A5-2,C5-1,D5-1"
iron_maiden,caught_somewhere_in_time.gp3,2,93,112,4,G,"C5-3/8,B5-1/4,C5-1/4,B5-1/4,C5-1/4,B5-1/4,A5-3/8,C5-3/8,B5-1/4,C5-1/4,B5-1/4,C5-1/4,B5-1/4,A5-3/8,C5-3/8,B5-1/4,C5-1/4,B5-1/4,C5-1/4,B5-1/4,A5-3/8,C5-3/8,B5-1/4,C5-1/4,B5-1/4,C5-1/4,B5-1/4,A5-3/8,D5-1/2,E5-1,G5-1/2,D5-1/2,E5-1,G5-1/2,C5-3/8,B5-1/4,C5-1/4,B5-1/4,C5-1/4,B5-1/4,A5-3/8,C5-3/8,B5-1/4,C5-1/4,B5-1/4,C5-1/4,B5-1/4,A5-3/8,C5-3/8,B5-1/4,C5-1/4,B5-1/4,C5-1/4,B5-1/4,A5-3/8,C5-3/8,B5-1/4,C5-1/4,B5-1/4,C5-1/4,B5-1/4,A5-3/8"
iron_maiden,chains_of_misery.gp3,3,94,101,4,C,"Dsus2-1,Bm-1/2,Gsus4-1/2,Dsus2-1,Bm-1/2,Gsus4-1/2,Dsus2-1,Bm-1/2,Gsus4-1/2,Dsus2-1,Bm-1/2,Gsus4-1/2"
iron_maiden,children_of_the_damned.gp3,4,81,105,4,G,"E5-3/8,D5-3/8,E5-1/4,E5-2,B5-2,C5-1,D5-1,E5-1,E5-3/8,D5-3/8,E5-1/4,E5-2,B5-2,C5-1,D5-1,E5-1,E5-3/8,D5-3/8,E5-1/4,E5-2,B5-2,C5-1,D5-1,E5-2"
iron_maiden,fear_is_the_key.gp3,1,69,76,3,G,"E5-1,C5-1/2,D5-1/2,E5-1/2,D5-1/2,C5-1/2,D5-1/2,E5-1/2,D5-1/2,C5-1/2,D5-1/2,E5-1,C5-1/2,D5-1/2"
iron_maiden,flight_of_icarus.gp3,4,5,17,4,A,"F#m-9/2,A5-1/2,E5-3/2,A5-1/2,F#m-3,G#aug-1,A-1,B5-1/4,C#5-1/4,E5-1/2"
iron_maiden,gates_of_tomorrow.gp5,1,135,150,4,F,"D5-7/4,F5-1/8,G5-1/8,D5-7/4,F5-1/8,G5-1/8,D5-7/4,F5-1/8,G5-1/8,C5-7/4,F5-1/8,C5-1/8,D5-7/4,F5-1/8,G5-1/8,D5-7/4,F5-1/8,G5-1/8,D5-7/4,F5-1/8,G5-1/8,A#5-7/4,C5-1/4"
iron_maiden,mother_russia.gp3,2,78,93,4,D#,"C5-7/2,D#5-1/2,C5-7/2,D#5-1/2,C5-7/2,D#5-1/2,C5-7/2,D#5-1/2"
iron_maiden,run_to_the_hills.gp3,1,83,100,4,G,"G5-2,E5-1,G5-1,C5-2,E5-1,G5-1,C5-2,E5-1,G5-1,C5-2,E5-1,G5-1,C5-2"
iron_maiden,wasting_love.gp3,1,85,100,4,G,"E5-1/2,C5-1/2,D5-1/4,G5-3/8,F5-3/8,E5-1/2,C5-1/2,D5-1/4,G5-3/8,F#5-3/8,E5-1/2,C5-1/2,D5-1/4,G5-3/8,D5-3/8,E5-1/2,C5-1/2,D5-1/4,G5-3/8,B5-3/8,E5-1/2,C5-1/2,D5-1/4,G5-3/8,F5-3/8,E5-1/2,C5-1/2,D5-1/4,G5-3/8,F#5-3/8,E5-1/2,C5-1/2,D5-1/4,G5-3/8,D5-3/8,E5-1/2,C5-1/2,D5-1"
